,post_url,media_url,author,media_type,inferenceTime,object1,object2,object3,object4,object5
0,https://www.linkedin.com/feed/update/urn:li:activity:6730274719494389760/,https://media-exp3.licdn.com/dms/image/C4E22AQGOLXL7zagScA/feedshare-shrink_800/0/1604622535182?e=1629331200&v=beta&t=rTAnkL7sPJJGm4J_UnKG-PxOYD1vqLnp2BCsn8mkfaI,Applaudo Studios,Single image,1.420100212097168,Human face,Woman,Clothing,Glasses,Human hair
0,https://www.linkedin.com/feed/update/urn:li:activity:6730599028762968065/,https://media-exp3.licdn.com/dms/image/C4E22AQGRq_cZohALEA/feedshare-shrink_800/0/1604699856445?e=1629331200&v=beta&t=-wQdeVCtytLdKpOjq8gxos6J4_OwSnpWk2HfFx9pq9w,Applaudo Studios,Single image,0.713625431060791,Clothing,Person,Poster,Human face,Woman
0,https://www.linkedin.com/feed/update/urn:li:activity:6729889439054663680/,https://media-exp3.licdn.com/dms/image/C4E22AQHdGcsJmdnl6Q/feedshare-shrink_800/0/1604530676350?e=1629331200&v=beta&t=SyKLLK0TTqlmumPF-vvrvJjUf0udi9gdb2QdApsSVLk,Applaudo Studios,Single image,0.6999597549438477,Human face,Man,Glasses,Clothing,Person
0,https://www.linkedin.com/feed/update/urn:li:activity:6729439550470459392/,https://media-exp3.licdn.com/dms/image/C4E22AQGNF-40TRRWcQ/feedshare-shrink_800/0/1604423415443?e=1629331200&v=beta&t=UEzMvSP0Ux7yq8ixHMRBcLpYPH3zfEa6G936zQhtI2g,Applaudo Studios,Single image,1.0596227645874023,Mobile phone,Poster,Office supplies,Laptop,Wheel
0,https://www.linkedin.com/feed/update/urn:li:activity:6726538139998965761/,https://media-exp3.licdn.com/dms/image/C4E22AQF2DQvPPRX32A/feedshare-shrink_800/0/1603731665139?e=1629331200&v=beta&t=h1LlGlxe2l6bnQTozHiDNTYUdQZnqWs_POeo-jJyxds,Applaudo Studios,Single image,1.290353775024414,Car,Poster,Land vehicle,Vehicle,Airplane
0,https://www.linkedin.com/feed/update/urn:li:activity:6727962634592800769/,https://media-exp3.licdn.com/dms/image/C4E22AQFP8GpaIXVbMw/feedshare-shrink_800/0/1604071290317?e=1629331200&v=beta&t=HpHba0URxRn4_PvVOC0jplIwYNr6MpJI5dedcYXnSJs,Applaudo Studios,Single image,1.3014640808105469,Poster,Traffic sign,Human face,Clothing,Window
0,https://www.linkedin.com/feed/update/urn:li:activity:6727248265240227840/,https://media-exp3.licdn.com/dms/image/C4E22AQEv-9LLCINxzQ/feedshare-shrink_800/0/1603900971491?e=1629331200&v=beta&t=53bPUR4fWRMsvZS1AK4MglwQoVrNlfvBCabLXxeKhFU,Applaudo Studios,Single image,1.3709893226623535,Human face,Man,Clothing,Person,Human mouth
0,https://www.linkedin.com/feed/update/urn:li:activity:6724806569856434176/,https://media-exp3.licdn.com/dms/image/C4E22AQHCb_RS8UVmjA/feedshare-shrink_800/0/1603318825965?e=1629331200&v=beta&t=Uw1--TRmYGuAYSMpjjDZPiuoGSwQ2CxL5j8EaHNXvgQ,Applaudo Studios,Single image,1.4065477848052979,Man,Clothing,Human face,Person,Table
0,https://www.linkedin.com/feed/update/urn:li:activity:6725106054113374209/,https://media-exp3.licdn.com/dms/image/C4E22AQGsH4FM16IWZg/feedshare-shrink_800/0/1603390229140?e=1629331200&v=beta&t=g48gxt5egWgiejHqFJB3_FpjFYDEa8Ww_X-d_7D2NQc,Applaudo Studios,Single image,1.3586368560791016,Computer monitor,Laptop,Office building,Desk,Person
0,https://www.linkedin.com/feed/update/urn:li:activity:6725455390630313984/,https://media-exp3.licdn.com/dms/image/C4E22AQFgfv4Qfbrz5w/feedshare-shrink_800/0/1603473517577?e=1629331200&v=beta&t=_SqruYBJSsk5n6Ya97OmhMp_hBzJ1ISzxUNG9hR70nc,Applaudo Studios,Single image,1.3264451026916504,Laptop,Window,Mobile phone,Poster,Clothing
0,https://www.linkedin.com/feed/update/urn:li:activity:6724425525642752000/,https://media-exp3.licdn.com/dms/image/C4E22AQELhMACei9hig/feedshare-shrink_800/0/1603227978287?e=1629331200&v=beta&t=1tjbEVnfMkCFsgw9gHtv6NFT8bdFjxrRoMZZeH6Rb78,Applaudo Studios,Single image,1.2907934188842773,Man,Human face,Shirt,Clothing,Human head
0,https://www.linkedin.com/feed/update/urn:li:activity:6724128622820564992/,https://media-exp3.licdn.com/dms/image/C4E22AQHkt-rt_psziQ/feedshare-shrink_800/0/1603157190971?e=1629331200&v=beta&t=Ep4TXP1aIfg0QR-sYrSFbiydApKBVJCf4Vpx6HZ4kuA,Applaudo Studios,Single image,0.6372759342193604,Houseplant,Plant,Flower,Table,Fork
0,https://www.linkedin.com/feed/update/urn:li:activity:6722647288377815040/,https://media-exp3.licdn.com/dms/image/C4D22AQFV1loW-e9wjw/feedshare-shrink_2048_1536/0/1602804013823?e=1629331200&v=beta&t=wqqVLA0ye9VSTwfMpC4m0XIEQioRgHTdpjIWZxBAqXE,Ricky Bonilla,Single image,0.7591872215270996,Poster,Computer monitor,Person,Mobile phone,Clothing
0,https://www.linkedin.com/feed/update/urn:li:activity:6721432969468276736/,https://media-exp3.licdn.com/dms/image/C4E22AQF83Xj31OxsxQ/feedshare-shrink_800/0/1602514497642?e=1629331200&v=beta&t=I257dPsEMaotYJwfK_oNB24JX6VAZa8-6G99zxylg70,Monica Escrich,Single image,1.4042229652404785,Poster,Clothing,Person,Human face,Tree
0,https://www.linkedin.com/feed/update/urn:li:activity:6721954460416966656/,https://media-exp3.licdn.com/dms/image/C4E22AQGhfGEv1icFcg/feedshare-shrink_800/0/1602638830036?e=1629331200&v=beta&t=VftyUGh0Y7XfQccvZohlNB61wjVnINPTLqa6sD8_9N8,Applaudo Studios,Single image,1.3197906017303467,Poster,Tree,Wheel,Clothing,Window
0,https://www.linkedin.com/feed/update/urn:li:activity:6722978287225774081/,https://media-exp3.licdn.com/dms/image/C4E22AQGBz2MQx2f7LA/feedshare-shrink_800/0/1602882929293?e=1629331200&v=beta&t=5p8PXSJr-CjLl8P69V14TB4_ZDZbH_C9TZgVIXJsZNo,Applaudo Studios,Single image,1.3123347759246826,Laptop,Computer keyboard,Clothing,Poster,Table
0,https://www.linkedin.com/feed/update/urn:li:activity:6721577801805307904/,https://media-exp3.licdn.com/dms/image/C4E22AQFxbyTrYQscWg/feedshare-shrink_800/0/1602549028417?e=1629331200&v=beta&t=iFgFXMiWiKPEC76d24L0fnTAG2KioDd5FxuF-7ZeGDY,Applaudo Studios,Single image,1.0436985492706299,Poster,Laptop,Office supplies,Computer keyboard,Clothing
0,https://www.linkedin.com/feed/update/urn:li:activity:6721798791931994112/,https://media-exp3.licdn.com/dms/image/C4E22AQG0q-GrMna_dw/feedshare-shrink_800/0/1602601716555?e=1629331200&v=beta&t=S5_Q6fz2ls5NWiW2e5U6oSIsF02Fe351cfqs-ANEdmc,Applaudo Studios,Single image,0.5872611999511719,Person,Clothing,Man,Picture frame,Footwear
0,https://www.linkedin.com/feed/update/urn:li:activity:6722901827572051968/,https://media-exp3.licdn.com/dms/image/C4E22AQHoI8VCf-N9iQ/feedshare-shrink_800/0/1602864700603?e=1629331200&v=beta&t=rqLv6vVBtv5IWPkBcIzh7pwoaSJXmcro0bB1D0V9D-8,Applaudo Studios,Single image,0.7015199661254883,Poster,Street light,Office supplies,Clothing,Person
0,https://www.linkedin.com/feed/update/urn:li:activity:6721769433217540096/,https://media-exp3.licdn.com/dms/image/C5622AQG140NIMizPIw/feedshare-shrink_800/0/1602594716612?e=1629331200&v=beta&t=hmu61K9541EZGFSpvMzvkPBxqZiUaHtPtXpqkFWzhGs,Katina Kenyon,Single image,0.9770200252532959,Poster,Table,Clothing,Office supplies,Man
0,https://www.linkedin.com/feed/update/urn:li:activity:6719635065074171904/,https://media-exp3.licdn.com/dms/image/C4E22AQG-2VI4df88tw/feedshare-shrink_800/0/1602085843002?e=1629331200&v=beta&t=9uTd9_-fiKmfWl1xgYYvEWQKBZw1YKbLHgFFnHPpKs0,Applaudo Studios,Single image,1.342297077178955,Human face,Man,Clothing,Person,Human mouth
0,https://www.linkedin.com/feed/update/urn:li:activity:6721450547620188160/,https://media-exp3.licdn.com/dms/image/C4E22AQH0MRZnrCp3Ig/feedshare-shrink_800/0/1602518687798?e=1629331200&v=beta&t=6-vXnPFBzAxvftqyfFMieH0jFWtBsn2d_5UmwQX_u1s,Applaudo Studios,Single image,1.362579107284546,Laptop,Computer monitor,Computer keyboard,Mobile phone,Tablet computer
0,https://www.linkedin.com/feed/update/urn:li:activity:6720122305982275584/,https://media-exp3.licdn.com/dms/image/C4D22AQFs2Bw85qZLUA/feedshare-shrink_800/0/1602202010346?e=1629331200&v=beta&t=ulMUohnHL9qGhmjrfNY3TNkSl18rZ8DVVMJI3n_kbIU,Applaudo Studios,Single image,1.3017773628234863,Human face,Clothing,Man,Person,Human arm
0,https://www.linkedin.com/feed/update/urn:li:activity:6717465743291752448/,https://media-exp3.licdn.com/dms/image/C5622AQHpI3OpXnRKNg/feedshare-shrink_800/0/1601568636056?e=1629331200&v=beta&t=3Ihx-tPQPWMpppb5Tm2IcN5C2rDfn4qu_6mDPsY6d3I,Umberto Gonnella,Single image,0.8349766731262207,Footwear,Clothing,Woman,Man,Human face
0,https://www.linkedin.com/feed/update/urn:li:activity:6720447193217601536/,https://media-exp3.licdn.com/dms/image/C4E22AQGhGpOoX5h-LA/feedshare-shrink_800/0/1602279469282?e=1629331200&v=beta&t=lOSo2FDIfgkWw2zL4BACMa5hAKoqfH8ZrBE_uuDghcQ,Applaudo Studios,Single image,1.0813069343566895,Man,Clothing,Human face,Person,Poster
0,https://www.linkedin.com/feed/update/urn:li:activity:6719995540131733504/,https://media-exp3.licdn.com/dms/image/C5622AQF4a3wfBSxx_w/feedshare-shrink_2048_1536/0/1602171787340?e=1629331200&v=beta&t=Rz2dpT0PhQoiUMsWSSQ1lsItzxKfVxHiS8GhRV8YK0A,Katina Kenyon,Single image,1.350696325302124,Clothing,Woman,Poster,Person,Human face
0,https://www.linkedin.com/feed/update/urn:li:activity:6718196284076908544/,https://media-exp3.licdn.com/dms/image/C4D22AQFSGf4F7KMmuA/feedshare-shrink_800/0/1601742811384?e=1629331200&v=beta&t=TSv8snIG2GEke6XqWJ4H4Gm6bCtdA0fLjLzEDql5v10,Applaudo Studios,Single image,0.6439228057861328,Laptop,Computer keyboard,Desk,Clothing,Poster
0,https://www.linkedin.com/feed/update/urn:li:activity:6717235811617644544/,https://media-exp3.licdn.com/dms/image/C4D22AQGQDrn7ZgVmKw/feedshare-shrink_800/0/1601513817215?e=1629331200&v=beta&t=4iCoOu3R7dbD3olCBn0ZJkjMyrmJFKmSZKwTkvkBsSE,Applaudo Studios,Single image,0.8130528926849365,Table,Clothing,Person,Woman,Human face
0,https://www.linkedin.com/feed/update/urn:li:activity:6716179646611759104/,https://media-exp3.licdn.com/dms/image/C4D22AQEakQMdt56K3w/feedshare-shrink_800/0/1601262007757?e=1629331200&v=beta&t=muh3ayNQjswt9ZSenbEkaWE6jyPvYujsvfOm1dy9U_Y,Applaudo Studios,Single image,1.3976733684539795,Poster,Person,Clothing,Footwear,Human face
0,https://www.linkedin.com/feed/update/urn:li:activity:6714581810220728320/,https://media-exp3.licdn.com/dms/image/C4E22AQFO4W5dGtAH0Q/feedshare-shrink_800/0/1600881053284?e=1629331200&v=beta&t=DPoHJCesLKaX70uSwwaTWtWyJG9ZMzYDHoIo7hJ2uvk,Applaudo Studios,Single image,1.04067063331604,Human face,Clothing,Woman,Chair,Man
0,https://www.linkedin.com/feed/update/urn:li:activity:6715068118223400960/,https://media-exp3.licdn.com/dms/image/C4E22AQGCBGX_f5yNsQ/feedshare-shrink_800/0/1600996997703?e=1629331200&v=beta&t=XAalLvHcCqEG9wZYmbSb64UnPoFFaKhG-1RL96d6jEM,Applaudo Studios,Single image,1.056673288345337,Computer monitor,Office building,Desk,Computer keyboard,Houseplant
0,https://www.linkedin.com/feed/update/urn:li:activity:6715370865640386560/,https://media-exp3.licdn.com/dms/image/C4D22AQFSOYIs-tD9lw/feedshare-shrink_800/0/1601069178460?e=1629331200&v=beta&t=UjCowZ2Inc55-iResHJGGsPllwaTtc6Kn1LWWdF8TDo,Applaudo Studios,Single image,1.3184585571289062,Laptop,Window,Computer keyboard,Poster,Mobile phone
0,https://www.linkedin.com/feed/update/urn:li:activity:6712329785747492864/,https://media-exp3.licdn.com/dms/image/C4D22AQGUecYdN_RTIw/feedshare-shrink_800/0/1600344128450?e=1629331200&v=beta&t=pjXsrZdcs57aVkq4mk5RBQvrUS279Guw3lBlV-5gydY,Women in Cloud,Single image,1.348327875137329,Human face,Woman,Clothing,Girl,Human eye
0,https://www.linkedin.com/feed/update/urn:li:activity:6714343982303870977/,https://media-exp3.licdn.com/dms/image/C4D22AQETXKXnDKz2OA/feedshare-shrink_800/0/1600824350466?e=1629331200&v=beta&t=Gu1Qay8vnShMp8E85PpX5lHDeEhzClbUzP9K9zLm9e4,Applaudo Studios,Single image,1.3437023162841797,Human face,Person,Clothing,Man,Woman
0,https://www.linkedin.com/feed/update/urn:li:activity:6712629802119045120/,https://media-exp3.licdn.com/dms/image/C4E22AQFA4UV-Jb8ODw/feedshare-shrink_800/0/1600415658190?e=1629331200&v=beta&t=ZuXlilEuObW2oMJdnB6iw8LwynyEBkx9ISAmN9DsaYs,Mario Vanegas,Single image,1.3436508178710938,Computer monitor,Mobile phone,Television,Scoreboard,Wheel
0,https://www.linkedin.com/feed/update/urn:li:activity:6711457094383542272/,https://media-exp3.licdn.com/dms/image/C4E22AQHRzAvYvWEoew/feedshare-shrink_800/0/1600136062674?e=1629331200&v=beta&t=2t2CdB4gTMdBxuMpMPgaR4ycwdSD-07VOxKFG7eUV0M,Alejandra Palacios,Single image,0.7101032733917236,Poster,Person,Computer monitor,Book,Clothing
